38,黑龙江省,牡丹江市,东宁县,大肚川镇,黑龙江牡丹江市东宁县大肚川镇三星希望小学,,2005,,,87,,张三,校长,13888888888,
39,黑龙江省,鸡西市,密山市,黑台镇,黑龙江鸡西市密山市黑台镇三星希望小学,,2005,,,513,,张三,校长,13888888888,
40,黑龙江省,七台河市,茄子河区,铁山乡,黑龙江七台河市茄子河区铁山乡三星希望小学,,2009,,,859,,张三,校长,13888888888,
41,黑龙江省,哈尔滨市,五常市,背荫河镇,黑龙江哈尔滨市五常市背荫河镇三星希望小学,,2010,,,758,,张三,校长,13888888888,
42,黑龙江省,伊春市,嘉荫县,常胜乡,黑龙江伊春市嘉荫县常胜乡三星希望小学,,2012,,,44,,张三,校长,13888888888,
43,黑龙江省,哈尔滨市,青冈县,昌盛乡,黑龙江哈尔滨市青冈县昌盛乡三星希望小学              ,,2013,,,658,,张三,校长,13888888888,
44,江苏省,徐州市,新沂市,高流镇,江苏徐州市新沂县高流镇三星希望小学,,2009,,,731,,张三,校长,13888888888,
45,江苏省,徐州市,沛县,朱寨镇,江苏徐州市沛县朱寨镇三星希望小学,,2010,,,206,,张三,校长,13888888888,
46,浙江省,衢州市,龙游县,东华街道,浙江衢州市龙游县东华街道十里铺村三星希望小学 ,,2010,,,472,,张三,校长,13888888888,
47,浙江省,湖州市,德清县,新安镇,浙江湖州市德清县新安镇三星希望小学,,2010,,,601,,张三,校长,13888888888,
48,安徽省,亳州市,利辛县,,安徽亳州市利辛县阚疃镇三星希望小学,安徽省亳州市利辛县阚疃镇袁新村前袁湾,2006,,,236,,张三,校长,13888888888,
49,安徽省,六安市,裕安区,,安徽六安市裕安区单王乡三星希望小学,,2008,,,22,,张三,校长,13888888888,
50,安徽省,黄山市,歙县,溪头镇,安徽黄山市歙县溪头乡三星希望小学,,2008,,,113,,张三,校长,13888888888,
51,安徽省,宣城市,泾县,,安徽宣城市泾县桃花潭乡三星希望小学,,2009,,,494,,张三,校长,13888888888,
52,安徽省,安庆市,宿松县,千岭乡,安徽安庆市宿松县千岭乡三星希望小学,,2010,,,850,,张三,校长,13888888888,
53,安徽省,六安市,金寨县,,安徽六安市金寨县白塔畈乡三星希望小学,,2012,,,204,,张三,校长,13888888888,
54,安徽省,阜阳市,颍东区,插花镇,安徽阜阳市颖东区插花镇闸南小学,,2013,,,710,,张三,校长,13888888888,
55,福建省,龙岩市,漳平市,,福建龙岩市漳平市芦芝乡三星希望小学,,2006,,,80,,张三,校长,13888888888,
56,福建省,宁德市,屏南县,,福建宁德市屏南县屏城乡三星希望小学,,2009,,,826,,张三,校长,13888888888,
57,江西省,萍乡市,莲花县,,江西萍乡市莲花县升坊镇三星希望小学,,2006,,,557,,张三,校长,13888888888,
58,江西省,上饶市,婺源县,,江西上饶市婺源县大鄣山乡三星希望小学,,2007,,,18,,张三,校长,13888888888,
59,江西省,宜春市,万载县,仙源镇,江西宜春市万载县仙源乡三星希望小学,,2008,,,455,,张三,校长,13888888888,
60,江西省,宜春市,袁州区,,江西宜春市袁州区温汤镇三星希望小学,,2008,,,137,,张三,校长,13888888888,
61,江西省,九江市,彭泽县,龙城镇,江西九江市彭泽县龙城镇三星希望小学,,2010,,,236,,张三,校长,13888888888,
62,江西省,九江市,庐山区,,江西九江市庐山市华林镇三星希望小学,,2012,,,426,,张三,校长,13888888888,
63,江西省,赣州市,宁都县,田头乡,江西赣州市宁都县田头镇三星希望小学,,2012,,,466,,张三,校长,13888888888,
64,江西省,上饶市,弋阳县,,江西弋阳县旭光乡三星希望学校,江西省上饶市弋阳县旭光乡铁沙街村旭光学校,2013,,,562,,张三,校长,13888888888,
